game_date,start_time,visitor_team,visitor_points,home_team,home_points,overtime,attendance,arena
Sat Oct 29 2022,9:00p,Memphis Grizzlies,123,Utah Jazz,124,,18206,Vivint Arena
Sun Oct 30 2022,3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,,18142,Crypto.com Arena
Sun Oct 30 2022,6:00p,Washington Wizards,94,Boston Celtics,112,,19156,TD Garden
Sun Oct 30 2022,6:00p,New York Knicks,108,Cleveland Cavaliers,121,,19432,Rocket Mortgage Fieldhouse
Sun Oct 30 2022,6:00p,Golden State Warriors,114,Detroit Pistons,128,,20190,Little Caesars Arena
Sun Oct 30 2022,7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,,15053,AT&T Center
Sun Oct 30 2022,7:30p,Orlando Magic,105,Dallas Mavericks,114,,20042,American Airlines Center
Sun Oct 30 2022,9:00p,Houston Rockets,109,Phoenix Suns,124,,17071,Footprint Center
Sun Oct 30 2022,9:30p,Denver Nuggets,110,Los Angeles Lakers,121,,18997,Crypto.com Arena
Mon Oct 31 2022,7:00p,Sacramento Kings,115,Charlotte Hornets,108,,12020,Spectrum Center
Mon Oct 31 2022,7:00p,Philadelphia 76ers,118,Washington Wizards,111,,13746,Capital One Arena
Mon Oct 31 2022,7:30p,Indiana Pacers,109,Brooklyn Nets,116,,15770,Barclays Center
Mon Oct 31 2022,7:30p,Atlanta Hawks,109,Toronto Raptors,139,,19800,Scotiabank Arena
Mon Oct 31 2022,8:00p,Detroit Pistons,108,Milwaukee Bucks,110,,17341,Fiserv Forum
Mon Oct 31 2022,9:00p,Memphis Grizzlies,105,Utah Jazz,121,,18206,Vivint Arena
Mon Oct 31 2022,10:30p,Houston Rockets,93,Los Angeles Clippers,95,,14887,Crypto.com Arena
